Year,Team,Player,ast,stl,blk,3p%,3pA,2p%,2pA,MP,WS
1976,New York Nets,John Williamson,2.5,1.0,0.4,.190,0.6,.460,14.6,29.7,2.8
1976,New York Nets,Rich Jones,1.6,1.0,0.3,.224,0.8,.392,13.1,29.2,1.5
1976,New York Nets,Kim Hughes,0.7,1.2,1.4,None,0.0,.530,6.7,25.7,6.8
1975,Golden State Warriors,Rick Barry,6.2,2.9,0.4,None,None,.464,27.7,40.4,12.7
1975,Golden State Warriors,Butch Beard,4.2,1.6,0.1,None,None,.528,9.4,30.7,7.6
1975,Golden State Warriors,Jamaal Wilkes,2.2,1.3,0.3,None,None,.442,13.8,30.7,5.1
1975,Golden State Warriors,Clifford Ray,2.2,1.2,1.4,None,None,.522,7.0,30.7,6.7
1975,Golden State Warriors,Charles Johnson,2.9,1.7,0.1,None,None,.412,12.1,27.5,2.4
1975,Kentucky Colonels,Artis Gilmore,2.5,0.8,3.1,.500,0.0,.580,16.1,41.6,16.2
1975,Kentucky Colonels,Louie Dampier,5.4,1.1,0.6,.396,1.2,.510,13.2,34.7,10.1
1975,Kentucky Colonels,Dan Issel,2.3,0.9,0.6,.000,0.1,.473,15.6,34.5,9.3
1975,Kentucky Colonels,Wil Jones,3.0,1.3,0.8,.000,0.1,.486,11.2,32.0,6.9
1975,Kentucky Colonels,Ted McClain,5.1,1.8,0.2,.125,0.1,.444,8.0,27.4,4.1
1974,Boston Celtics,Dave Cowens,4.4,1.2,1.3,None,None,.437,18.4,41.9,9.3
1974,Boston Celtics,John Havlicek,5.9,1.3,0.4,None,None,.456,19.8,40.7,9.7
1974,Boston Celtics,Jo Jo White,5.5,1.3,0.3,None,None,.449,17.6,39.5,7.3
1974,Boston Celtics,Paul Silas,2.3,0.8,0.2,None,None,.440,9.4,31.7,7.7
1974,Boston Celtics,Don Chaney,2.2,1.0,0.8,None,None,.464,9.3,27.9,5.8
1974,New York Nets,Julius Erving,5.2,2.3,2.4,.395,0.5,.515,20.7,40.5,16.5
1974,New York Nets,Larry Kenon,1.3,0.9,0.2,.000,0.0,.463,15.2,34.6,5.9
1974,New York Nets,Billy Paultz,2.2,0.8,1.9,.000,0.0,.494,13.6,33.7,8.9
1974,New York Nets,Brian Taylor,4.5,2.1,0.3,.276,0.4,.484,9.8,33.4,5.3
1974,New York Nets,John Williamson,3.2,1.1,0.4,.182,0.1,.494,12.6,29.4,4.2
1973,New York Knicks,Walt Frazier,5.9,None,None,None,None,.490,17.8,40.8,13.0
1973,New York Knicks,Dave DeBusschere,3.4,None,None,None,None,.435,15.9,36.7,6.6
1973,New York Knicks,Bill Bradley,4.5,None,None,None,None,.459,15.3,36.6,7.0
1973,New York Knicks,Earl Monroe,3.8,None,None,None,None,.488,13.5,31.6,7.8
1973,New York Knicks,Jerry Lucas,4.5,None,None,None,None,.513,8.6,28.2,7.8
1973,Indiana Pacers,George McGinnis,2.5,2.0,None,.250,0.4,.499,21.0,40.8,11.4
1973,Indiana Pacers,Mel Daniels,2.2,None,1.9,.250,0.0,.483,15.0,38.3,9.2
1973,Indiana Pacers,Freddie Lewis,4.0,None,None,.345,1.5,.449,10.4,30.8,5.2
1973,Indiana Pacers,Darnell Hillman,1.5,None,1.4,.000,0.1,.452,8.6,30.3,3.3
1973,Indiana Pacers,Roger Brown,2.8,None,None,.356,1.6,.498,8.1,30.2,6.1
1972,Los Angeles Lakers,Wilt Chamberlain,4.0,None,None,None,None,.649,9.3,42.3,15.8
1972,Los Angeles Lakers,Jerry West,9.7,None,None,None,None,.477,20.0,38.6,13.3
1972,Los Angeles Lakers,Jim McMillian,2.6,None,None,None,None,.482,16.6,38.1,7.8
1972,Los Angeles Lakers,Gail Goodrich,4.5,None,None,None,None,.487,20.7,37.1,12.3
1972,Los Angeles Lakers,Happy Hairston,2.4,None,None,None,None,.461,10.0,34.4,9.2
1972,Indiana Pacers,Roger Brown,3.9,None,None,.308,2.4,.512,11.9,38.3,9.3
1972,Indiana Pacers,Mel Daniels,2.2,None,None,.000,0.1,.508,14.9,37.6,10.3
1972,Indiana Pacers,Freddie Lewis,4.7,None,None,.310,1.3,.442,11.0,35.2,6.2
1972,Indiana Pacers,Bob Netolicky,1.0,None,None,.211,0.2,.484,12.9,35.0,5.6
1972,Indiana Pacers,George McGinnis,1.9,None,None,.158,0.5,.478,13.2,29.8,5.3
